Selection	View	Channel	Event	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	Begin Hour	File Start Date	Begin Date	Score	Count	Measurable	Harmonics	Ambiguous	Notes	Analyst	Rand	Deployment	Sound Problems	Call Criteria	Disk
1	Spectrogram	1	Rumble	3431.669965028763	3436.0	167.16298460960388	226.02331638336182	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_150100.wav	929.6699650287628	Arden_20250605_150100.wav	Arden	15	06/05/2025	06/05/2025	0.258529931306839											
2	Spectrogram	1	Rumble	3482.7481276988983	3485.74529004097	197.68357276916504	206.5230906009674	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_150100.wav	980.7481276988983	Arden_20250605_150100.wav	Arden	15	06/05/2025	06/05/2025	0.3345734179019928											
3	Spectrogram	1	Rumble	3936.6679252386093	3940.196968793869	194.50317323207855	204.9994021654129	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_150100.wav	1434.6679252386093	Arden_20250605_150100.wav	Arden	15	06/05/2025	06/05/2025	0.3313107490539551											
4	Spectrogram	1	Rumble	4666.277376025915	4671.50283780694	200.1919448375702	222.1924066543579	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_150100.wav	2164.277376025915	Arden_20250605_150100.wav	Arden	15	06/05/2025	06/05/2025	0.33663031458854675											
5	Spectrogram	1	Rumble	4741.005541563034	4743.712322950363	190.780907869339	203.82371544837952	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_150100.wav	2239.005541563034	Arden_20250605_150100.wav	Arden	15	06/05/2025	06/05/2025	0.2620334029197693											
6	Spectrogram	1	Rumble	6145.578775644302	6152.618734717369	207.3628455400467	219.73226964473724	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	43.57877564430237	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.430765300989151											
7	Spectrogram	1	Rumble	6217.24055480957	6220.911577701569	200.70791244506836	223.20860624313354	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	115.24055480957031	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.2952035069465637											
8	Spectrogram	1	Rumble	6130.732712090015	6136.764487862587	166.6974425315857	180.54825067520142	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	28.73271209001541	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.26209133863449097											
9	Spectrogram	1	Rumble	6298.423859834671	6302.143636345863	203.37817072868347	222.21338748931885	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	196.42385983467102	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.2609003186225891											
10	Spectrogram	1	Rumble	6736.689315021038	6741.411585688591	183.5690289735794	226.23692452907562	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	634.689315021038	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.5391770601272583											
11	Spectrogram	1	Rumble	6758.248075008392	6765.795022845268	208.45291018486023	223.21563959121704	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	656.2480750083923	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.5373789072036743											
12	Spectrogram	1	Rumble	6754.023000836372	6758.093172907829	209.88690853118896	219.57111358642578	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	652.0230008363724	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.4769020676612854											
13	Spectrogram	1	Rumble	6743.603213608265	6752.5298082232475	203.8983851671219	223.33450615406036	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	641.6032136082649	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.3571275770664215											
14	Spectrogram	1	Rumble	6854.5017466545105	6863.251884937286	207.2952687740326	224.63110089302063	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250605_160105.wav	752.5017466545105	Arden_20250605_160105.wav	Arden	16	06/05/2025	06/05/2025	0.3124132752418518											
