Selection	View	Channel	Event	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	Begin Hour	File Start Date	Begin Date	Score	Count	Measurable	Harmonics	Ambiguous	Notes	Analyst	Rand	Deployment	Sound Problems	Call Criteria	Disk
1	Spectrogram	1	Rumble	447.8174228668213	454.17162013053894	113.81615698337556	236.11150681972504	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	447.8174228668213	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.7064496874809265											
2	Spectrogram	1	Rumble	446.9800629615784	452.89946103096014	83.95799249410629	241.9585287570953	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	446.9800629615784	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.5132920145988464											
3	Spectrogram	1	Rumble	447.1484596729279	450.9852008819726	63.89176845550537	236.1522912979126	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	447.1484596729279	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.3857243061065674											
4	Spectrogram	1	Rumble	597.5060877799988	602.8175880908966	106.59436881542206	248.01822006702423	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	597.5060877799988	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.7719226479530334											
5	Spectrogram	1	Rumble	541.6676317453384	547.8463501930237	143.02322268486023	242.93336272239685	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	541.6676317453384	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.7448348999023438											
6	Spectrogram	1	Rumble	486.2482540011406	492.72663003206253	55.6783452630043	242.8308427333832	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	486.2482540011406	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.7314295768737793											
7	Spectrogram	1	Rumble	678.9690455198288	684.9835021495674	116.20759963989258	248.38486313819885	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	678.9690455198288	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.694210410118103											
8	Spectrogram	1	Rumble	1059.3872706890106	1065.0988781452324	190.7388269901276	236.3587915897369	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	1059.3872706890106	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.7473837733268738											
9	Spectrogram	1	Rumble	2238.1665394306183	2242.643495082855	195.48842310905457	243.94461512565613	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	2238.1665394306183	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.5944346189498901											
10	Spectrogram	1	Rumble	2238.4335675239563	2241.653671979904	94.31792050600052	241.3136959075928	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	2238.4335675239563	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.5580489039421082											
11	Spectrogram	1	Rumble	2847.72087597847	2851.9376608133025	141.8052613735199	240.22844433784485	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_010150.wav	2847.72087597847	Arden_20250607_010150.wav	Arden	1	06/07/2025	06/07/2025	0.4215421676635742											
