Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	298.179384161	303.116407711	0.000	214.888	RUM	3	N	0
2	Spectrogram 1	1	653.920584463	658.646297771	0.000	203.184	RUM	3	N	0
3	Spectrogram 1	1	789.259764248	795.166905884	0.000	166.667	RUM	1	N	1
4	Spectrogram 1	1	821.749043244	827.787454693	0.000	171.348	RUM	2	N	2
5	Spectrogram 1	1	862.180146706	869.006177040	0.000	139.045	RUM	2	N	2
6	Spectrogram 1	1	905.367916264	913.112835297	0.000	235.955	RUM	3	N	2
7	Spectrogram 1	1	921.907912844	930.834260204	0.000	224.719	RUM	3	N	2
8	Spectrogram 1	1	935.559973513	940.351321728	0.000	201.311	RUM	3	N	1
9	Spectrogram 1	1	951.903065371	955.578620167	0.000	176.030	RUM	3	N	1
10	Spectrogram 1	1	1096.037321701	1100.106685939	0.000	181.648	RUM	1	N	1
11	Spectrogram 1	1	1496.935338306	1502.579940314	0.000	192.884	RUM	2	N	1
12	Spectrogram 1	1	1588.036590020	1592.827938236	0.000	171.348	RUM	1	N	1
13	Spectrogram 1	1	1635.753168166	1640.019437125	0.000	187.266	RUM	2	N	1
14	Spectrogram 1	1	1657.215782775	1661.678956455	0.000	204.120	RUM	2	N	1
15	Spectrogram 1	1	1960.252150526	1966.482149327	0.000	205.993	RUM	3	N	1
17	Spectrogram 1	1	2093.551329221	2099.195931228	0.000	214.888	RUM	3	N	1
18	Spectrogram 1	1	2168.637663611	2175.135519410	0.000	214.888	RUM	3	N	1
19	Spectrogram 1	1	2196.598134731	2200.076784806	0.000	164.326	RUM	0	N	1
20	Spectrogram 1	1	2389.892936451	2395.603173365	0.000	213.951	RUM	4	N	0
21	Spectrogram 1	1	2428.354991989	2434.130863811	0.000	147.004	RUM	0	N	1
22	Spectrogram 1	1	2443.319750799	2448.701813178	0.000	213.015	RUM	2	N	1
23	Spectrogram 1	1	2455.199667976	2460.319190727	0.000	210.206	RUM	3	N	1
24	Spectrogram 1	1	2471.411490020	2478.434425076	0.000	140.449	RUM	2	N	1
25	Spectrogram 1	1	2511.842592770	2517.684099499	0.000	150.749	RUM	3	N	2
26	Spectrogram 1	1	2529.564018389	2536.324413816	0.000	194.757	RUM	3	N	1
27	Spectrogram 1	1	2570.782740024	2576.952421288	0.000	182.116	RUM	3	N	2
28	Spectrogram 1	1	2588.766703557	2594.148765936	0.000	203.184	RUM	2	N	1
29	Spectrogram 1	1	2629.066536493	2635.826931921	0.000	209.270	RUM	3	N	1
30	Spectrogram 1	1	2653.876532074	2658.799150104	0.000	156.367	RUM	2	N	1
31	Spectrogram 1	1	2673.435734379	2679.802320364	0.000	209.738	RUM	3	N	1
